name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-2142,NO,3131.1,3245.4,3016.8,0.93,-0.1,0.24,-0.44,6.6e-01,1.0e+00,0.9998,1188,3404,2704.7,3627.6,2378.7,3103.6,3568
GENE-2153,NO,739.2,766,712.4,0.93,-0.1,0.21,-0.49,6.2e-01,1.0e+00,0.9998,1189,667.7,841.2,789,668.9,640,828.4
GENE-2155,NO,370.2,324.2,416.3,1.284,0.4,0.21,1.71,8.8e-02,1.0e+00,0.9998,1190,349.7,353.4,269.6,395.8,419.5,433.5
GENE-2156,NO,19.8,19.2,20.4,1.063,0.1,0.44,0.2,8.4e-01,1.0e+00,0.9998,1191,20.8,20.9,15.9,19.8,21.7,19.8
GENE-2157,NO,368.3,346.5,390.1,1.126,0.2,0.47,0.37,7.1e-01,1.0e+00,0.9998,1192,158.5,642.1,238.8,362.1,439.1,369.2
GENE-2159,NO,151.3,154,148.5,0.964,-0.1,0.36,-0.15,8.8e-01,1.0e+00,0.9998,1193,123.8,123.4,214.9,169.2,181.2,95
GENE-2160,NO,2,2.3,1.7,0.71,-0.5,1.33,-0.37,7.1e-01,1.0e+00,0.9998,1194,2,1,4,1,3,1
GENE-2162,NO,148,156,140,0.897,-0.2,0.24,-0.65,5.1e-01,1.0e+00,0.9998,1195,140.7,171.2,156.2,161.3,127,131.6
GENE-2170,NO,165.9,162.7,169.2,1.04,0.1,0.3,0.19,8.5e-01,1.0e+00,0.9998,1196,137.7,146.3,204,120.7,192,195
GENE-2178,NO,671.4,696.5,646.3,0.928,-0.1,0.19,-0.58,5.6e-01,1.0e+00,0.9998,1197,731.1,736.6,621.8,629.3,695.1,614.6
GENE-2183,NO,612.4,634.4,590.4,0.931,-0.1,0.27,-0.39,7.0e-01,1.0e+00,0.9998,1198,778.7,607.2,517.4,713.4,600.6,457.3
GENE-2184,NO,920.7,850,991.3,1.166,0.2,0.23,0.95,3.4e-01,1.0e+00,0.9998,1199,788.6,863.1,898.4,1174.5,760.1,1039.2
GENE-2187,NO,36.7,32.1,41.2,1.281,0.4,0.36,0.99,3.2e-01,1.0e+00,0.9998,1200,23.8,34.8,37.8,38.6,43.3,41.6
GENE-2195,NO,1.7,1.7,1.7,0.993,0,1.52,-0.01,9.9e-01,1.0e+00,0.9998,1201,1,1,3,0,3,2
GENE-2204,NO,14296.8,15059.7,13533.9,0.899,-0.2,0.28,-0.55,5.8e-01,1.0e+00,0.9998,1202,10693.6,20635.8,13849.6,14335.3,13019.8,13246.6
GENE-2205,NO,75.6,97.4,53.7,0.551,-0.9,0.54,-1.59,1.1e-01,1.0e+00,0.9998,1203,59.4,97.6,135.3,19.8,46.3,95
GENE-2210,NO,2329,2204.4,2453.7,1.113,0.2,0.24,0.65,5.1e-01,1.0e+00,0.9998,1204,1789.2,2839,1984.9,2455.8,2449.8,2455.5
GENE-2211,NO,603.3,618.3,588.3,0.951,-0.1,0.35,-0.2,8.4e-01,1.0e+00,0.9998,1205,436.9,640.1,778,348.3,732.6,683.9
GENE-2216,NO,344.3,302.4,386.1,1.277,0.4,0.27,1.32,1.9e-01,1.0e+00,0.9998,1206,303.2,356.4,247.7,339.4,489.4,329.6
GENE-2218,NO,3.1,3.7,2.6,0.723,-0.5,1.18,-0.4,6.9e-01,1.0e+00,0.9998,1207,2,4,5,4.9,3,0
GENE-2225,NO,65.9,69.2,62.6,0.904,-0.1,0.3,-0.49,6.2e-01,1.0e+00,0.9998,1208,80.2,64.7,62.7,63.3,53.2,71.3
GENE-2226,NO,7.4,7.6,7.3,0.952,-0.1,0.87,-0.08,9.3e-01,1.0e+00,0.9998,1209,13.9,4,5,2,7.9,11.9
GENE-2232,NO,4745.3,4369.7,5120.9,1.172,0.2,0.17,1.34,1.8e-01,1.0e+00,0.9998,1210,4533.4,4686.6,3889.2,5023.5,5260.9,5078.3
GENE-2235,NO,3.1,2,4.3,2.153,1.1,1.1,1.01,3.1e-01,1.0e+00,0.9998,1211,2,1,3,4.9,5.9,2
GENE-2237,NO,7.8,5.6,9.9,1.756,0.8,0.87,0.94,3.5e-01,1.0e+00,0.9998,1212,5.9,4,7,3,5.9,20.8
GENE-2248,NO,1079.9,1195.5,964.2,0.807,-0.3,0.24,-1.29,2.0e-01,1.0e+00,0.9998,1213,1093.7,1057.2,1435.7,877.6,1168.8,846.2
GENE-2256,NO,848.1,856.9,839.3,0.979,0,0.19,-0.16,8.8e-01,1.0e+00,0.9998,1214,866.9,809.3,894.5,893.5,725.7,898.7
GENE-2258,NO,21.5,22.5,20.4,0.906,-0.1,0.43,-0.33,7.4e-01,1.0e+00,0.9998,1215,18.8,27.9,20.9,19.8,22.6,18.8
GENE-2268,NO,69.6,73.6,65.6,0.891,-0.2,0.33,-0.5,6.2e-01,1.0e+00,0.9998,1216,54.5,83.6,82.6,67.3,50.2,79.2
GENE-2269,NO,848.7,859.2,838.2,0.975,0,0.18,-0.19,8.5e-01,1.0e+00,0.9998,1217,863.9,942.7,771.1,886.6,801.5,826.4
GENE-2278,NO,413.8,420.9,406.6,0.966,0,0.23,-0.22,8.2e-01,1.0e+00,0.9998,1218,466.6,402.2,394,412.6,472.6,334.5
GENE-2279,NO,1628.3,1572.9,1683.7,1.07,0.1,0.18,0.56,5.7e-01,1.0e+00,0.9998,1219,1652.5,1565.9,1500.4,1669.2,1540,1841.9
GENE-2288,NO,4.3,4,4.6,1.161,0.2,1.02,0.21,8.3e-01,1.0e+00,0.9998,1220,5,2,5,8.9,1,4
GENE-2291,NO,54,55,53,0.965,-0.1,0.32,-0.16,8.7e-01,1.0e+00,0.9998,1221,65.4,50.8,48.8,60.4,43.3,55.4
GENE-2293,NO,3.3,2.7,4,1.489,0.6,1.16,0.49,6.2e-01,1.0e+00,0.9998,1222,2,4,2,2,8.9,1
GENE-2296,NO,2601.9,2746.9,2456.9,0.894,-0.2,0.23,-0.7,4.9e-01,1.0e+00,0.9998,1223,2696.7,2333.3,3210.7,2112.5,2935.2,2322.9
GENE-2297,NO,6.8,8,5.6,0.704,-0.5,0.86,-0.59,5.6e-01,1.0e+00,0.9998,1224,9.9,6,8,4.9,10.8,1
GENE-2298,NO,3.3,3.3,3.3,0.994,0,0.98,-0.01,9.9e-01,1.0e+00,0.9998,1225,3,3,4,3,3.9,3
GENE-2304,NO,19.6,16.9,22.4,1.325,0.4,0.44,0.92,3.6e-01,1.0e+00,0.9998,1226,13.9,18.9,17.9,21.8,21.7,23.8
GENE-2305,NO,115.4,115.9,114.9,0.991,0,0.26,-0.05,9.6e-01,1.0e+00,0.9998,1227,128.8,102.5,116.4,93,121.1,130.6
GENE-2308,NO,18.7,20.5,16.8,0.818,-0.3,0.45,-0.64,5.2e-01,1.0e+00,0.9998,1228,16.8,21.9,22.9,15.8,18.7,15.8
GENE-2311,NO,27.4,28.5,26.4,0.925,-0.1,0.43,-0.26,7.9e-01,1.0e+00,0.9998,1229,22.8,35.8,26.9,32.7,18.7,27.7
GENE-2314,NO,4.6,4.3,4.9,1.147,0.2,0.86,0.23,8.2e-01,1.0e+00,0.9998,1230,4,4,5,4.9,6.9,3
GENE-2316,YES,4.1,2.7,5.6,2.114,1.1,0.98,1.1,2.7e-01,1.0e+00,0.9998,1231,3,3,2,3,3.9,9.9
GENE-2321,NO,509.9,575,444.9,0.774,-0.4,0.35,-1.07,2.9e-01,1.0e+00,0.9998,1232,402.2,787.4,535.3,602.6,421.4,310.8
GENE-2323,NO,32.2,34.2,30.3,0.888,-0.2,0.44,-0.39,7.0e-01,1.0e+00,0.9998,1233,24.8,29.9,47.8,34.6,36.4,19.8
GENE-2324,NO,10.1,11.3,8.9,0.789,-0.3,0.64,-0.53,5.9e-01,1.0e+00,0.9998,1234,11.9,10,11.9,4,11.8,10.9
GENE-2326,NO,1.5,1.3,1.7,1.242,0.3,1.47,0.21,8.3e-01,1.0e+00,0.9998,1235,2,1,1,1,3,1
GENE-2330,NO,4.5,4.6,4.3,0.922,-0.1,1.02,-0.11,9.1e-01,1.0e+00,0.9998,1236,1,3,9.9,4,5.9,3
GENE-2332,NO,166.6,162.3,170.9,1.053,0.1,0.22,0.33,7.4e-01,1.0e+00,0.9998,1237,150.6,180.2,156.2,159.3,186.1,167.3
GENE-2333,NO,3,2.7,3.3,1.244,0.3,1.11,0.28,7.8e-01,1.0e+00,0.9998,1238,4,2,2,4.9,1,4
GENE-2340,NO,5.3,5.7,4.9,0.877,-0.2,0.83,-0.23,8.2e-01,1.0e+00,0.9998,1239,5,9,3,4.9,4.9,4.9
GENE-2347,NO,399.2,386.6,411.9,1.066,0.1,0.2,0.46,6.4e-01,1.0e+00,0.9998,1240,377.5,406.1,376.1,372,463.8,399.9
GENE-2353,NO,54.8,53.7,56,1.044,0.1,0.39,0.16,8.7e-01,1.0e+00,0.9998,1241,48.5,43.8,68.7,53.4,36.4,78.2
GENE-2356,NO,1066.9,1024.9,1108.9,1.082,0.1,0.17,0.69,4.9e-01,1.0e+00,0.9998,1242,992.7,1002.4,1079.5,1141.8,1055.5,1129.3
GENE-2359,NO,4.5,4,4.9,1.243,0.3,0.93,0.34,7.4e-01,1.0e+00,0.9998,1243,2,5,5,5.9,2,6.9
GENE-2364,NO,6.8,7.3,6.2,0.858,-0.2,0.74,-0.3,7.7e-01,1.0e+00,0.9998,1244,4,10,8,5.9,7.9,4.9
GENE-2369,NO,745.2,644.2,846.2,1.314,0.4,0.26,1.51,1.3e-01,1.0e+00,0.9998,1245,671.7,765.5,495.5,672.8,905.9,960
GENE-2379,NO,127.3,114.6,140,1.221,0.3,0.24,1.21,2.3e-01,1.0e+00,0.9998,1246,117.9,107.5,118.4,143.5,122.1,154.4
GENE-2380,NO,102,102,102.1,1.001,0,0.26,0,1.0e+00,1.0e+00,0.9998,1247,108,104.5,93.5,105.9,113.2,87.1
GENE-2385,NO,2.5,2.3,2.7,1.137,0.2,1.17,0.16,8.7e-01,1.0e+00,0.9998,1248,2,2,3,4,1,3
GENE-2388,NO,17.3,19.2,15.5,0.805,-0.3,0.47,-0.66,5.1e-01,1.0e+00,0.9998,1249,15.9,20.9,20.9,12.9,15.8,17.8
GENE-2391,NO,671.9,645.5,698.2,1.082,0.1,0.27,0.42,6.7e-01,1.0e+00,0.9998,1250,442.8,693.8,799.9,739.1,668.6,686.9
GENE-2399,NO,3.6,3.3,4,1.193,0.3,1.03,0.25,8.0e-01,1.0e+00,0.9998,1251,5,1,4,2,5.9,4
GENE-2401,NO,6.8,6.6,6.9,1.043,0.1,0.78,0.08,9.4e-01,1.0e+00,0.9998,1252,3,6,10.9,6.9,8.9,4.9
GENE-2407,NO,96.2,92.4,100,1.083,0.1,0.44,0.26,8.0e-01,1.0e+00,0.9998,1253,116.9,54.8,105.5,79.2,158.5,62.4
GENE-2409,NO,142.7,148.8,136.6,0.919,-0.1,0.42,-0.29,7.7e-01,1.0e+00,0.9998,1254,116.9,129.4,200,201.8,139.8,68.3
GENE-2420,NO,349.2,351.1,347.4,0.989,0,0.2,-0.08,9.4e-01,1.0e+00,0.9998,1255,352.7,378.3,322.4,339.4,376.1,326.6
GENE-2426,NO,137.7,133.5,142,1.063,0.1,0.24,0.37,7.1e-01,1.0e+00,0.9998,1256,129.8,124.4,146.3,140.5,123.1,162.3
GENE-2430,NO,119.7,128.8,110.7,0.859,-0.2,0.28,-0.8,4.3e-01,1.0e+00,0.9998,1257,164.5,105.5,116.4,115.8,106.3,109.9
GENE-2437,NO,2.1,3,1.3,0.441,-1.2,1.37,-0.86,3.9e-01,1.0e+00,0.9998,1258,2,4,3,1,3,0
GENE-2440,NO,710.6,677.8,743.4,1.097,0.1,0.2,0.67,5.0e-01,1.0e+00,0.9998,1259,641,665,727.3,849,649.9,731.4
GENE-2442,NO,62.1,64.6,59.6,0.923,-0.1,0.28,-0.41,6.8e-01,1.0e+00,0.9998,1260,66.4,62.7,64.7,64.3,52.2,62.4
GENE-2444,NO,304.1,281.9,326.2,1.157,0.2,0.57,0.37,7.1e-01,1.0e+00,0.9998,1261,250.6,464.9,130.3,220.6,617.4,140.5
GENE-2448,NO,32.7,42.1,23.4,0.556,-0.8,0.57,-1.49,1.4e-01,1.0e+00,0.9998,1262,31.7,32.9,61.7,14.8,11.8,43.5
GENE-2450,NO,23.8,22.5,25,1.111,0.2,0.41,0.37,7.1e-01,1.0e+00,0.9998,1263,21.8,23.9,21.9,24.7,21.7,28.7
GENE-2452,NO,585.4,550.2,620.5,1.128,0.2,0.22,0.77,4.4e-01,1.0e+00,0.9998,1264,531,473.8,645.7,707.5,549.4,604.7
GENE-2458,NO,461.9,437.3,486.5,1.113,0.2,0.23,0.67,5.0e-01,1.0e+00,0.9998,1265,414.1,505.7,392,575.9,439.1,444.4
GENE-2465,NO,60.6,62,59.3,0.957,-0.1,0.32,-0.2,8.4e-01,1.0e+00,0.9998,1266,68.4,49.8,67.7,59.4,71.9,46.5
GENE-2473,NO,70.5,71.5,69.5,0.971,0,0.32,-0.13,8.9e-01,1.0e+00,0.9998,1267,61.4,81.6,71.6,70.3,52.2,86.1
GENE-2474,NO,93.3,103.7,83,0.8,-0.3,0.27,-1.18,2.4e-01,1.0e+00,0.9998,1268,110,87.6,113.4,70.3,89.6,89.1
GENE-2475,NO,36.5,33.8,39.2,1.16,0.2,0.4,0.54,5.9e-01,1.0e+00,0.9998,1269,27.7,38.8,34.8,54.4,28.6,34.6
GENE-2476,NO,33.4,33.5,33.3,0.995,0,0.4,-0.02,9.9e-01,1.0e+00,0.9998,1270,36.7,32.9,30.8,38.6,20.7,40.6
GENE-2478,NO,101,97.1,105,1.082,0.1,0.25,0.46,6.5e-01,1.0e+00,0.9998,1271,97.1,98.6,95.5,99.9,120.1,95
GENE-2481,NO,11.7,9,14.5,1.621,0.7,0.65,1.07,2.8e-01,1.0e+00,0.9998,1272,10.9,7,9,24.7,8.9,9.9
GENE-2491,NO,71.2,66.3,76.1,1.148,0.2,0.29,0.68,5.0e-01,1.0e+00,0.9998,1273,57.5,70.7,70.6,88.1,62,78.2
GENE-2492,NO,4.8,5,4.6,0.927,-0.1,0.89,-0.12,9.0e-01,1.0e+00,0.9998,1274,2,7,6,5.9,4.9,3
GENE-2497,NO,596.9,546.1,647.7,1.186,0.2,0.26,0.94,3.5e-01,1.0e+00,0.9998,1275,617.2,548.5,472.6,525.4,842.8,575
GENE-2509,NO,578,492,664,1.349,0.4,0.37,1.17,2.4e-01,1.0e+00,0.9998,1276,618.2,540.5,317.4,960.8,601.6,429.5
GENE-2510,NO,76.4,70.6,82.3,1.167,0.2,0.29,0.76,4.5e-01,1.0e+00,0.9998,1277,78.3,52.8,80.6,85.1,82.7,79.2
GENE-2511,NO,60.6,60,61.3,1.022,0,0.29,0.11,9.2e-01,1.0e+00,0.9998,1278,57.5,55.7,66.7,70.3,58.1,55.4
GENE-2513,NO,863.9,895.8,832,0.929,-0.1,0.23,-0.45,6.5e-01,1.0e+00,0.9998,1279,1027.4,747.6,912.4,912.3,908.8,675
GENE-2519,NO,178.3,163.9,192.6,1.175,0.2,0.23,1.03,3.1e-01,1.0e+00,0.9998,1280,189.2,158.3,144.3,187,202.8,188
GENE-2522,NO,2544.5,2358.8,2730,1.157,0.2,0.31,0.67,5.0e-01,1.0e+00,0.9998,1281,2170.6,1628.6,3277.3,3177.1,2086.4,2926.6
GENE-2526,NO,5.4,5.6,5.3,0.937,-0.1,0.85,-0.11,9.1e-01,1.0e+00,0.9998,1282,8.9,5,3,7.9,3,4.9
GENE-2527,NO,38.5,36.7,40.2,1.093,0.1,0.34,0.38,7.0e-01,1.0e+00,0.9998,1283,42.6,33.8,33.8,42.5,39.4,38.6
GENE-2532,NO,2442,2267.6,2616.4,1.154,0.2,0.28,0.74,4.6e-01,1.0e+00,0.9998,1284,2435.1,1889.4,2478.4,1772.1,3044.5,3032.5
GENE-2534,NO,397.6,318.7,476.5,1.495,0.6,0.58,0.99,3.2e-01,1.0e+00,0.9998,1285,513.2,287.7,155.2,818.3,473.6,137.6
GENE-2537,NO,28.9,33.5,24.4,0.728,-0.5,0.44,-1.04,3.0e-01,1.0e+00,0.9998,1286,32.7,32.9,34.8,28.7,31.5,12.9
GENE-2538,NO,4430.4,4483.5,4377.2,0.976,0,0.18,-0.19,8.5e-01,1.0e+00,0.9998,1287,4952.5,4190.9,4307.1,4469.4,3963.1,4699.2
GENE-2539,NO,26.2,20.2,32.3,1.597,0.7,0.4,1.69,9.0e-02,1.0e+00,0.9998,1288,19.8,21.9,18.9,26.7,34.5,35.6
GENE-2540,NO,8.8,9.9,7.5,0.762,-0.4,0.7,-0.56,5.8e-01,1.0e+00,0.9998,1289,5.9,8,15.9,5.9,10.8,5.9
GENE-2541,NO,5.1,5.3,4.9,0.932,-0.1,0.83,-0.12,9.0e-01,1.0e+00,0.9998,1290,5.9,3,7,5.9,4.9,4
GENE-2551,NO,23.6,24.2,23,0.953,-0.1,0.42,-0.17,8.7e-01,1.0e+00,0.9998,1291,21.8,23.9,26.9,26.7,24.6,17.8
GENE-2556,NO,162.3,164.9,159.7,0.968,0,0.24,-0.19,8.5e-01,1.0e+00,0.9998,1292,171.4,135.4,188,147.4,164.4,167.3
GENE-2557,NO,2,2.3,1.7,0.71,-0.5,1.3,-0.38,7.0e-01,1.0e+00,0.9998,1293,1,4,2,1,2,2
GENE-2561,NO,13.5,14.2,12.8,0.902,-0.1,0.53,-0.28,7.8e-01,1.0e+00,0.9998,1294,13.9,14.9,13.9,11.9,9.8,16.8
GENE-2562,NO,1011,1049,973,0.928,-0.1,0.34,-0.32,7.5e-01,1.0e+00,0.9998,1295,597.4,1139.8,1409.8,1189.3,841.9,887.8
GENE-2563,NO,283,272.9,293.1,1.074,0.1,0.21,0.5,6.2e-01,1.0e+00,0.9998,1296,273.4,273.8,271.6,334.4,282.6,262.3
GENE-2567,NO,9.7,7.9,11.5,1.45,0.5,0.62,0.86,3.9e-01,1.0e+00,0.9998,1297,7.9,5,10.9,10.9,11.8,11.9
GENE-2570,NO,3.5,4.6,2.3,0.497,-1,1.07,-0.94,3.5e-01,1.0e+00,0.9998,1298,6.9,5,2,1,2,4
GENE-2573,NO,3.5,3.3,3.6,1.093,0.1,1.04,0.12,9.0e-01,1.0e+00,0.9998,1299,1,3,6,3,3,4.9
GENE-2577,NO,71.3,66.9,75.7,1.132,0.2,0.27,0.66,5.1e-01,1.0e+00,0.9998,1300,65.4,64.7,70.6,73.2,69.9,84.1
GENE-2578,NO,493,541,445,0.823,-0.3,1.03,-0.27,7.8e-01,1.0e+00,0.9998,1301,462.7,181.2,979,873.7,377.1,84.1
GENE-2579,NO,2.3,2.3,2.3,0.995,0,1.19,-0.01,1.0e+00,1.0e+00,0.9998,1302,3,2,2,3,1,3
GENE-2586,NO,1692.5,1687.1,1698,1.006,0,0.2,0.05,9.6e-01,1.0e+00,0.9998,1303,1806,1654.4,1600.9,1979.9,1468.1,1645.9
GENE-2590,NO,64.2,91.7,36.6,0.399,-1.3,1.74,-0.76,4.5e-01,1.0e+00,0.9998,1304,86.2,59.7,129.3,98.9,10.8,0
GENE-2597,NO,251.9,226.3,277.6,1.227,0.3,0.39,0.76,4.5e-01,1.0e+00,0.9998,1305,169.4,233.9,275.6,392.8,294.4,145.5
GENE-2599,NO,23.1,27.5,18.8,0.683,-0.6,0.41,-1.33,1.8e-01,1.0e+00,0.9998,1306,24.8,26.9,30.8,18.8,16.7,20.8
GENE-2600,NO,226.7,233.8,219.7,0.94,-0.1,0.27,-0.33,7.4e-01,1.0e+00,0.9998,1307,280.4,171.2,249.7,201.8,200.9,256.3
GENE-2606,NO,51,54.6,47.4,0.868,-0.2,0.36,-0.58,5.7e-01,1.0e+00,0.9998,1308,72.3,41.8,49.7,39.6,47.3,55.4
GENE-2608,NO,1870.9,1907.4,1834.4,0.962,-0.1,0.17,-0.33,7.4e-01,1.0e+00,0.9998,1309,1766.4,1913.3,2042.6,1959.1,1755.6,1788.4
GENE-2609,NO,778.1,725,831.3,1.147,0.2,0.26,0.75,4.5e-01,1.0e+00,0.9998,1310,547.9,663,964.1,820.3,792.6,880.9
GENE-2612,NO,95.3,102.4,88.2,0.862,-0.2,0.26,-0.81,4.2e-01,1.0e+00,0.9998,1311,103,98.6,105.5,80.1,105.4,79.2
GENE-2615,NO,20.3,21.2,19.4,0.917,-0.1,0.52,-0.24,8.1e-01,1.0e+00,0.9998,1312,25.8,14.9,22.9,28.7,18.7,10.9
GENE-2616,NO,33.4,37.4,29.3,0.783,-0.4,0.36,-0.99,3.2e-01,1.0e+00,0.9998,1313,37.6,38.8,35.8,24.7,33.5,29.7
GENE-2617,NO,2.3,3,1.7,0.552,-0.9,1.35,-0.63,5.3e-01,1.0e+00,0.9998,1314,1,3,5,0,3,2
GENE-2626,NO,868.6,826.7,910.5,1.101,0.1,0.17,0.82,4.1e-01,1.0e+00,0.9998,1315,883.7,790.4,805.9,917.2,934.4,879.9
GENE-2634,NO,2.8,2.3,3.3,1.422,0.5,1.13,0.45,6.5e-01,1.0e+00,0.9998,1316,4,2,1,3,2,4.9
GENE-2635,NO,2.5,3.3,1.7,0.497,-1,1.27,-0.8,4.3e-01,1.0e+00,0.9998,1317,4,2,4,0,3,2
GENE-2636,NO,112.1,113.9,110.3,0.968,0,0.29,-0.16,8.7e-01,1.0e+00,0.9998,1318,121.9,111.5,108.4,143.5,100.4,87.1
GENE-2640,NO,20.1,17.2,23,1.338,0.4,0.49,0.86,3.9e-01,1.0e+00,0.9998,1319,16.8,21.9,12.9,14.8,29.5,24.7
GENE-2641,NO,44.9,45.4,44.4,0.98,0,0.33,-0.09,9.3e-01,1.0e+00,0.9998,1320,55.5,43.8,36.8,46.5,42.3,44.5
GENE-2642,NO,71.6,83.8,59.3,0.707,-0.5,0.39,-1.28,2.0e-01,1.0e+00,0.9998,1321,61.4,59.7,130.3,66.3,57.1,54.4
GENE-2650,NO,26.1,23.8,28.3,1.188,0.2,0.47,0.52,6.0e-01,1.0e+00,0.9998,1322,19.8,36.8,14.9,29.7,22.6,32.7
GENE-2653,NO,6.3,6,6.6,1.104,0.1,0.85,0.17,8.7e-01,1.0e+00,0.9998,1323,3,7,8,9.9,7.9,2
GENE-2654,YES,2.8,4.3,1.3,0.306,-1.7,1.44,-1.19,2.4e-01,1.0e+00,0.9998,1324,1,10,2,3,0,1
GENE-2663,NO,355.7,361.3,350.1,0.969,0,0.22,-0.21,8.3e-01,1.0e+00,0.9998,1325,400.2,367.3,316.4,395.8,312.1,342.4
GENE-2666,NO,13.2,12.6,13.8,1.099,0.1,0.65,0.21,8.3e-01,1.0e+00,0.9998,1326,9.9,14.9,12.9,25.7,7.9,7.9
GENE-2673,NO,64.2,57.3,71.1,1.24,0.3,0.38,0.82,4.1e-01,1.0e+00,0.9998,1327,45.6,51.8,74.6,48.5,97.5,67.3
GENE-2677,NO,4.8,3.7,5.9,1.627,0.7,0.86,0.82,4.1e-01,1.0e+00,0.9998,1328,5,3,3,7.9,5.9,4
GENE-2680,NO,2578.4,2564.5,2592.3,1.011,0,0.23,0.07,9.5e-01,1.0e+00,0.9998,1329,2668.9,2358.2,2666.5,1970,3029.7,2777.2
GENE-2681,NO,7.8,9.6,5.9,0.616,-0.7,0.74,-0.94,3.5e-01,1.0e+00,0.9998,1330,5.9,12.9,9.9,4,9.8,4
GENE-2684,NO,642.1,522,762.1,1.46,0.5,0.89,0.61,5.4e-01,1.0e+00,0.9998,1331,506.2,138.4,921.3,1280.4,286.5,719.5
GENE-2687,NO,198.3,171.1,225.6,1.318,0.4,0.47,0.84,4.0e-01,1.0e+00,0.9998,1332,247.7,85.6,180.1,322.6,244.2,109.9
GENE-2689,NO,2.3,2.7,2,0.746,-0.4,1.2,-0.35,7.2e-01,1.0e+00,0.9998,1333,3,4,1,2,2,2
GENE-2690,NO,12.6,11.6,13.5,1.165,0.2,0.6,0.37,7.1e-01,1.0e+00,0.9998,1334,11.9,10,12.9,21.8,8.9,9.9
GENE-2692,NO,3209,2947,3471,1.178,0.2,0.22,1.1,2.7e-01,1.0e+00,0.9998,1335,3408,2937.6,2495.3,3794.6,3631.3,2987
GENE-2693,NO,42.1,34.8,49.4,1.421,0.5,0.34,1.5,1.3e-01,1.0e+00,0.9998,1336,36.7,33.8,33.8,54.4,39.4,54.4
GENE-2695,NO,2,1.7,2.3,1.39,0.5,1.45,0.33,7.4e-01,1.0e+00,0.9998,1337,0,1,4,3,3,1
GENE-2700,NO,118.1,129.8,106.4,0.819,-0.3,0.27,-1.05,2.9e-01,1.0e+00,0.9998,1338,123.8,137.4,128.3,83.1,103.4,132.6
GENE-2704,NO,459.3,520.2,398.3,0.766,-0.4,0.38,-1.03,3.0e-01,1.0e+00,0.9998,1339,416.1,609.2,535.3,528.4,468.7,197.9
GENE-2705,NO,38.8,34.8,42.8,1.232,0.3,0.38,0.79,4.3e-01,1.0e+00,0.9998,1340,42.6,26.9,34.8,36.6,36.4,55.4
GENE-2706,NO,41.9,46,37.9,0.823,-0.3,0.54,-0.52,6.0e-01,1.0e+00,0.9998,1341,73.3,14.9,49.7,30.7,44.3,38.6
GENE-2713,NO,16.7,17.9,15.5,0.866,-0.2,0.51,-0.41,6.8e-01,1.0e+00,0.9998,1342,16.8,12.9,23.9,15.8,11.8,18.8
GENE-2715,NO,13.2,12.3,14.2,1.155,0.2,0.55,0.38,7.1e-01,1.0e+00,0.9998,1343,13.9,10,12.9,8.9,15.8,17.8
GENE-2716,NO,199.6,192.8,206.4,1.071,0.1,0.23,0.42,6.7e-01,1.0e+00,0.9998,1344,211,163.3,204,224.6,214.6,180.1
GENE-2717,NO,6.9,8.3,5.6,0.675,-0.6,1.09,-0.52,6.0e-01,1.0e+00,0.9998,1345,0,11,13.9,8.9,5.9,2
GENE-2718,NO,243.2,274.7,211.8,0.771,-0.4,0.31,-1.21,2.3e-01,1.0e+00,0.9998,1346,227.9,375.3,220.9,212.7,167.4,255.4
GENE-2723,NO,1152.5,1066.1,1238.8,1.162,0.2,0.26,0.83,4.1e-01,1.0e+00,0.9998,1347,1144.3,797.4,1256.6,1472.3,1042.7,1201.5
GENE-2727,NO,91.8,91.5,92.2,1.008,0,0.29,0.04,9.7e-01,1.0e+00,0.9998,1348,77.3,108.5,88.6,98.9,105.4,72.3
GENE-2730,NO,26.1,30.2,22.1,0.732,-0.5,0.41,-1.09,2.8e-01,1.0e+00,0.9998,1349,25.8,32.9,31.8,28.7,18.7,18.8
GENE-2734,NO,325.5,323.6,327.4,1.011,0,0.21,0.08,9.4e-01,1.0e+00,0.9998,1350,306.1,374.3,290.5,330.5,321,330.6
GENE-2735,NO,583.6,590.9,576.3,0.975,0,0.17,-0.21,8.3e-01,1.0e+00,0.9998,1351,587.5,573.4,611.9,579.8,562.2,586.9
GENE-2742,NO,83.1,149.8,16.4,0.11,-3.2,2.76,-1.16,2.5e-01,1.0e+00,0.9998,1352,143.7,305.6,0,4.9,44.3,0
GENE-2750,NO,440.1,553.4,326.9,0.591,-0.8,0.48,-1.59,1.1e-01,1.0e+00,0.9998,1353,592.4,559.4,508.4,224.6,616.4,139.6
GENE-2757,NO,29.9,26.5,33.3,1.255,0.3,0.38,0.86,3.9e-01,1.0e+00,0.9998,1354,30.7,27.9,20.9,35.6,34.5,29.7
GENE-2765,NO,1854.9,1738.8,1971.1,1.134,0.2,0.22,0.82,4.1e-01,1.0e+00,0.9998,1355,1843.7,1380.7,1991.9,2069,2076.6,1767.7
GENE-2766,NO,497.6,533.6,461.6,0.865,-0.2,0.37,-0.57,5.7e-01,1.0e+00,0.9998,1356,529,553.5,518.4,221.6,544.5,618.6
