name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-3649,NO,1,0,0,0,0,0,0
GENE-3650,NO,1,125,115,142,123,102,135
GENE-3651,NO,1,1,3,3,2,2,4
GENE-3652,NO,1,33,8,5,19,12,18
GENE-3653,NO,1,0,0,0,0,0,0
GENE-3654,NO,1,1,3,0,2,1,2
GENE-3655,NO,1,0,0,0,0,0,0
GENE-3656,NO,1,17,24,22,14,34,27
GENE-3657,NO,1,0,0,0,0,0,0
GENE-3658,NO,1,0,0,0,0,0,0
GENE-3659,NO,1,0,0,0,0,0,0
GENE-3660,NO,1,0,0,0,0,0,0
GENE-3661,NO,1,0,0,0,0,0,0
GENE-3662,NO,1,2494,2410,2594,2147,2378,2082
GENE-3663,NO,1,0,0,0,0,0,0
GENE-3664,NO,1,0,0,0,0,0,0
GENE-3665,NO,1,0,0,0,0,0,0
GENE-3666,NO,1,0,0,0,0,0,0
GENE-3667,NO,1,21,12,11,8,10,11
GENE-3668,NO,1,157,125,127,140,133,135
GENE-3669,NO,1,13,12,6,7,10,10
GENE-3670,NO,1,1441,1545,1650,2165,2256,1714
GENE-3671,NO,1,0,0,0,0,0,0
GENE-3672,NO,1,0,0,0,0,0,0
GENE-3673,NO,1,0,0,0,0,0,0
GENE-3674,NO,1,165,189,190,151,192,176
GENE-3675,NO,1,0,0,0,0,0,0
GENE-3676,NO,1,0,0,0,0,0,0
GENE-3677,NO,1,0,0,0,0,0,0
GENE-3678,NO,1,0,0,0,0,0,0
GENE-3679,NO,1,7,7,10,5,6,5
GENE-3680,NO,1,3,2,2,2,1,5
GENE-3681,NO,1,0,0,0,0,0,0
GENE-3682,NO,1,9,13,8,10,14,15
GENE-3683,NO,1,0,0,0,0,0,0
GENE-3684,NO,1,0,0,0,0,0,0
GENE-3685,NO,1,0,0,0,0,0,0
GENE-3686,NO,1,0,0,0,0,0,0
GENE-3687,NO,1,0,0,0,0,0,0
GENE-3688,NO,1,0,0,0,0,0,0
GENE-3689,NO,1,2,0,1,3,6,3
GENE-3690,NO,1,0,0,1,1,0,0
GENE-3691,NO,1,0,0,0,0,0,0
GENE-3692,NO,1,54,33,45,44,73,53
GENE-3693,NO,1,0,0,0,0,0,0
GENE-3694,NO,1,0,0,0,0,0,0
GENE-3696,NO,1,0,0,0,0,0,0
GENE-3697,NO,1,0,0,0,0,0,0
GENE-3698,NO,1,2,1,0,1,0,0
GENE-3699,NO,1,0,0,0,0,0,0
GENE-3700,NO,1,3877,4242,4591,5292,4801,5441
GENE-3701,NO,1,0,0,0,0,0,0
GENE-3702,NO,1,0,0,0,0,0,0
GENE-3704,NO,1,2,4,4,3,5,2
GENE-3705,NO,1,0,1,0,0,0,0
GENE-3706,NO,1,0,0,0,0,0,0
GENE-3707,NO,1,39,12,47,40,100,57
GENE-3708,NO,1,0,0,0,0,0,2
GENE-3709,NO,1,0,0,0,0,0,0
GENE-3710,NO,1,0,0,0,0,0,0
GENE-3711,NO,1,0,0,0,0,0,0
GENE-3712,NO,1,0,0,0,1,0,0
GENE-3713,NO,1,0,0,0,0,0,0
GENE-3714,NO,1,0,0,0,0,0,0
GENE-3715,NO,1,1,3,4,3,0,1
GENE-3716,NO,1,0,0,0,0,0,0
GENE-3717,NO,1,0,0,0,0,0,0
GENE-3718,NO,1,0,0,0,0,0,0
GENE-3719,NO,1,406,467,501,475,448,454
GENE-3720,NO,1,8,15,11,9,11,7
GENE-3721,NO,1,0,1,0,0,1,0
GENE-3722,NO,1,0,0,0,0,0,0
GENE-3723,NO,1,0,0,0,0,0,0
GENE-3724,NO,1,197,133,159,120,110,121
GENE-3725,NO,1,702,573,518,607,601,616
GENE-3726,NO,1,0,0,0,0,0,0
GENE-3727,NO,1,271,308,306,229,305,259
GENE-3728,YES,1,0,0,0,0,0,0
GENE-3729,NO,1,242,176,247,500,296,284
GENE-3730,NO,1,0,0,0,0,0,0
GENE-3731,NO,1,0,0,0,0,0,0
GENE-3732,NO,1,0,0,0,0,0,0
GENE-3733,NO,1,5,10,18,12,17,10
GENE-3734,NO,1,0,0,0,0,0,0
GENE-3735,NO,1,495,816,700,627,853,900
GENE-3736,NO,1,59,55,56,66,67,90
GENE-3737,NO,1,0,1,1,0,2,0
GENE-3738,NO,1,0,0,0,0,0,0
GENE-3739,NO,1,0,0,0,0,0,0
GENE-3740,NO,1,0,0,0,0,0,0
GENE-3741,NO,1,1,0,2,0,0,1
GENE-3742,NO,1,1,2,1,2,1,0
GENE-3743,NO,1,0,0,0,0,0,0
GENE-3744,NO,1,1,2,4,2,1,1
GENE-3745,NO,1,0,0,0,0,0,0
GENE-3746,NO,1,3,6,7,12,4,7
GENE-3747,NO,1,0,0,0,0,0,0
GENE-3748,NO,1,2,5,4,2,3,1
GENE-3749,NO,1,0,0,0,0,0,0
GENE-3750,NO,1,292,436,641,475,313,273
GENE-3751,NO,1,0,0,0,0,0,0
GENE-3752,NO,1,0,0,0,0,0,0
GENE-3753,NO,1,0,0,0,0,0,0
GENE-3754,NO,1,0,0,0,0,0,0
GENE-3755,NO,1,0,0,0,0,0,0
GENE-3756,NO,1,21,26,23,28,21,19
GENE-3757,NO,1,22,27,33,24,22,28
GENE-3758,NO,1,0,0,0,0,0,0
GENE-3759,NO,1,0,0,0,0,0,0
GENE-3760,NO,1,0,0,0,0,0,1
GENE-3761,NO,1,0,0,0,0,0,0
GENE-3762,NO,1,0,0,0,0,0,0
GENE-3763,NO,1,0,0,0,0,0,0
GENE-3764,NO,1,0,0,0,0,0,0
GENE-3765,NO,1,0,0,0,0,0,0
GENE-3766,NO,1,18,35,12,30,7,17
GENE-3767,NO,1,0,0,0,0,0,0
GENE-3768,NO,1,0,0,0,0,0,0
GENE-3769,NO,1,0,0,0,0,0,0
GENE-3770,NO,1,122,116,112,126,174,120
GENE-3771,YES,1,0,0,0,0,0,0
GENE-3772,NO,1,889,951,871,892,901,823
GENE-3773,NO,1,10,25,7,26,8,13
GENE-3774,NO,1,0,0,0,0,0,0
GENE-3775,NO,1,0,0,0,0,0,0
GENE-3776,NO,1,0,0,0,0,0,0
GENE-3777,NO,1,6,7,3,4,7,8
GENE-3778,NO,1,1181,905,1174,1288,903,1686
GENE-3779,NO,1,0,0,0,0,0,0
GENE-3780,NO,1,0,0,0,0,0,0
GENE-3781,NO,1,0,0,0,0,0,0
GENE-3782,NO,1,0,0,0,0,0,0
GENE-3783,NO,1,0,0,0,0,0,0
GENE-3784,NO,1,21,15,16,16,25,7
GENE-3785,NO,1,0,0,0,0,0,0
GENE-3786,NO,1,0,0,0,0,0,0
GENE-3787,NO,1,0,0,0,0,0,0
GENE-3788,NO,1,0,0,0,0,0,0
GENE-3789,NO,1,0,0,1,1,2,0
GENE-3790,NO,1,0,0,0,0,0,0
GENE-3791,NO,1,0,0,0,0,0,0
GENE-3792,NO,1,230,154,212,131,207,155
GENE-3793,NO,1,2302,2906,2596,1927,2018,1602
GENE-3794,NO,1,0,0,0,0,0,0
GENE-3795,NO,1,38,50,42,38,49,57
GENE-3796,NO,1,0,0,0,0,0,0
GENE-3797,NO,1,21,23,32,34,27,28
GENE-3798,NO,1,0,0,0,0,0,0
GENE-3799,NO,1,0,0,0,0,0,0
GENE-3800,NO,1,0,0,0,0,0,0
GENE-3801,NO,1,28,22,18,28,23,9
GENE-3802,NO,1,0,0,0,0,0,0
GENE-3803,NO,1,0,0,0,0,0,0
GENE-3804,NO,1,0,0,0,0,0,0
GENE-3805,NO,1,4,3,3,1,1,1
GENE-3806,NO,1,76,95,106,78,125,79
GENE-3807,NO,1,0,0,0,0,0,0
GENE-3808,NO,1,0,0,0,0,0,0
GENE-3809,NO,1,20,39,23,36,12,17
GENE-3810,NO,1,19,26,29,17,13,27
GENE-3811,NO,1,2,5,2,5,3,2
GENE-3812,NO,1,424,329,296,238,340,313
GENE-3813,NO,1,0,0,0,0,0,0
GENE-3814,NO,1,0,0,0,0,0,0
GENE-3815,NO,1,6,317,3197,1539,83,103
GENE-3816,NO,1,4,2,9,4,11,9
GENE-3817,NO,1,0,0,0,0,0,0
GENE-3818,NO,1,0,0,0,0,0,0
GENE-3819,NO,1,0,0,0,0,0,0
GENE-3820,NO,1,0,0,0,0,0,0
GENE-3821,NO,1,0,0,0,0,0,0
GENE-3822,NO,1,0,0,0,0,0,0
GENE-3823,NO,1,0,0,0,0,0,0
GENE-3824,NO,1,0,0,0,0,0,0
GENE-3825,NO,1,0,0,0,0,0,0
GENE-3826,NO,1,3,2,4,4,3,3
GENE-3827,NO,1,0,0,0,0,0,0
GENE-3828,NO,1,2,1,1,2,2,2
GENE-3829,NO,1,143,85,109,158,162,133
GENE-3830,NO,1,7,3,1,4,2,0
GENE-3831,NO,1,23,19,18,28,27,38
GENE-3832,YES,1,0,0,0,0,0,0
GENE-3833,NO,1,0,0,0,0,0,0
GENE-3834,NO,1,0,0,0,0,0,0
GENE-3835,NO,1,0,0,0,0,0,0
GENE-3836,NO,1,4,3,5,7,3,1
GENE-3837,NO,1,0,0,0,0,0,0
GENE-3838,YES,1,0,0,0,0,0,0
GENE-3839,NO,1,0,0,0,0,0,0
GENE-3840,NO,1,100,211,164,159,72,91
GENE-3841,NO,1,0,0,0,0,0,0
GENE-3842,NO,1,0,0,0,0,0,0
GENE-3843,NO,1,158,165,157,217,146,152
GENE-3845,NO,1,0,0,0,0,0,0
GENE-3846,NO,1,0,0,0,0,0,0
GENE-3847,NO,1,0,0,0,0,0,0
GENE-3848,NO,1,0,0,1,0,0,0
GENE-3849,NO,1,80,66,64,97,59,81
GENE-3850,NO,1,17,19,23,23,17,32
GENE-3852,NO,1,0,0,0,0,0,0
GENE-3853,NO,1,0,0,0,0,0,0
GENE-3854,NO,1,0,0,0,0,0,0
GENE-3855,NO,1,0,0,0,0,0,0
GENE-3856,NO,1,43,31,40,30,34,33
GENE-3857,NO,1,0,0,0,0,0,0
GENE-3858,NO,1,1504,1242,1132,1132,1093,1358
GENE-3859,NO,1,0,0,0,0,0,0
GENE-3860,NO,1,0,0,0,0,0,0
GENE-3861,NO,1,0,0,0,0,0,0
GENE-3862,NO,1,16,9,23,11,13,31
GENE-3863,NO,1,0,0,0,0,0,0
GENE-3864,NO,1,0,0,0,0,0,0
GENE-3865,NO,1,0,0,0,0,0,0
GENE-3866,NO,1,0,0,0,0,0,0
GENE-3867,NO,1,0,0,0,0,0,0
GENE-3868,NO,1,2,0,0,7,2,0
GENE-3869,NO,1,43,61,31,32,47,34
GENE-3870,NO,1,0,0,0,0,0,0
GENE-3871,NO,1,5,17,133,0,0,24
GENE-3872,NO,1,453,330,473,509,311,563
GENE-3873,NO,1,0,0,0,0,0,0
GENE-3874,NO,1,3611,2800,3836,4342,3797,3591
GENE-3875,NO,1,0,0,0,0,0,0
GENE-3876,NO,1,0,0,0,0,0,0
GENE-3878,NO,1,0,0,0,0,0,0
GENE-3879,NO,1,0,0,0,0,0,0
GENE-3880,NO,1,0,0,0,0,0,0
GENE-3881,YES,1,0,0,0,0,0,0
GENE-3882,NO,1,0,0,0,0,0,0
GENE-3883,NO,1,0,0,0,0,0,0
GENE-3884,NO,1,0,0,0,0,0,0
GENE-3885,NO,1,0,0,0,0,0,0
GENE-3886,NO,1,7,1,4,3,2,2
GENE-3887,NO,1,0,0,0,0,0,0
GENE-3888,NO,1,0,0,0,0,0,0
GENE-3889,NO,1,0,0,0,0,0,0
GENE-3890,YES,1,0,0,0,0,0,0
GENE-3891,NO,1,0,0,0,0,0,0
GENE-3892,NO,1,0,0,0,0,0,0
GENE-3893,YES,1,0,0,0,0,0,0
GENE-3894,NO,1,0,0,0,0,0,0
GENE-3895,NO,1,0,0,0,0,0,0
GENE-3896,NO,1,0,0,0,0,0,0
GENE-3897,NO,1,0,0,0,0,0,0
GENE-3898,NO,1,0,0,0,0,0,0
GENE-3899,NO,1,210,252,207,240,214,239
GENE-3900,NO,1,0,1,1,1,0,0
GENE-3901,NO,1,1,0,1,2,1,0
GENE-3902,NO,1,0,0,0,0,0,0
GENE-3903,NO,1,483,512,658,507,435,543
GENE-3904,NO,1,0,0,0,0,0,0
GENE-3905,NO,1,1027,1286,1130,892,1214,1017
GENE-3906,NO,1,0,0,0,0,0,0
GENE-3907,NO,1,0,0,0,0,0,0
GENE-3908,NO,1,14,16,14,17,19,14
GENE-3909,NO,1,0,0,0,0,0,1
GENE-3910,NO,1,0,0,0,0,0,0
GENE-3911,NO,1,0,0,0,0,0,0
GENE-3912,NO,1,2,4,1,1,2,1
GENE-3913,NO,1,0,0,0,0,0,0
GENE-3914,NO,1,0,0,0,0,0,0
GENE-3915,NO,1,0,0,0,0,0,0
GENE-3916,NO,1,0,0,0,0,0,0
GENE-3917,NO,1,0,0,0,0,0,0
GENE-3918,NO,1,6,10,8,5,10,11
GENE-3919,NO,1,280,282,251,192,282,273
GENE-3920,NO,1,0,0,0,0,0,0
GENE-3921,NO,1,0,0,0,0,0,0
GENE-3922,NO,1,37,25,30,34,29,35
GENE-3923,NO,1,0,0,0,0,0,0
GENE-3924,NO,1,0,0,0,0,0,0
GENE-3925,NO,1,1,10,62,18,12,5
GENE-3926,NO,1,1017,1013,1285,1669,538,933
GENE-3927,NO,1,0,0,0,0,0,0
GENE-3928,NO,1,0,0,0,0,0,0
GENE-3929,NO,1,0,0,0,0,0,0
GENE-3930,NO,1,56,20,49,77,105,82
GENE-3931,NO,1,0,0,0,0,0,0
GENE-3932,NO,1,0,0,0,0,0,0
GENE-3933,NO,1,0,0,0,0,0,0
GENE-3934,NO,1,0,0,0,0,0,0
GENE-3935,NO,1,6,7,11,4,10,5
GENE-3936,NO,1,0,0,0,0,0,0
GENE-3937,NO,1,195,159,202,153,191,180
GENE-3938,NO,1,0,0,0,0,0,0
GENE-3939,NO,1,0,0,0,0,0,0
GENE-3940,NO,1,0,0,0,0,0,0
GENE-3941,NO,1,2,2,0,1,3,0
GENE-3942,NO,1,26,29,27,26,31,25
GENE-3943,NO,1,0,0,0,0,0,0
GENE-3945,NO,1,0,0,0,0,0,0
GENE-3946,NO,1,1,1,0,0,1,2
GENE-3947,NO,1,0,0,0,0,0,0
GENE-3948,NO,1,26,12,21,14,19,14
GENE-3949,NO,1,0,0,0,0,1,0
GENE-3950,NO,1,0,2,2,0,3,2
GENE-3951,NO,1,0,0,0,0,0,0
GENE-3952,NO,1,0,0,0,0,0,0
GENE-3953,NO,1,0,0,0,0,0,0
GENE-3954,NO,1,15,3,7,16,6,13
GENE-3955,NO,1,0,0,0,0,0,0
GENE-3956,NO,1,22,27,30,33,13,25
GENE-3957,NO,1,0,0,0,0,0,0
GENE-3958,NO,1,0,0,0,0,0,0
GENE-3959,NO,1,118,173,188,196,215,176
GENE-3960,YES,1,0,0,0,0,0,0
GENE-3961,NO,1,0,0,0,0,0,0
GENE-3962,NO,1,0,0,0,0,0,0
GENE-3963,NO,1,0,0,0,0,0,0
GENE-3964,YES,1,0,0,0,0,0,0
GENE-3965,NO,1,0,2,0,1,4,1
GENE-3966,NO,1,0,0,0,0,0,0
GENE-3967,NO,1,0,0,0,0,0,0
GENE-3968,NO,1,0,0,0,0,0,0
GENE-3969,NO,1,16,7,8,5,13,8
GENE-3970,NO,1,50,33,41,36,51,53
GENE-3971,YES,1,0,2,0,1,0,2
GENE-3972,NO,1,102,84,73,65,119,84
GENE-3973,NO,1,2341,1835,2944,1687,1989,2014
GENE-3974,NO,1,108,51,73,88,60,88
GENE-3975,NO,1,10,10,13,13,15,16
GENE-3976,NO,1,0,0,0,0,0,0
GENE-3977,NO,1,0,0,0,0,0,0
GENE-3978,NO,1,1148,1003,1004,986,950,1100
GENE-3979,NO,1,1,0,1,0,0,0
GENE-3980,NO,1,0,0,0,1,0,0
GENE-3981,NO,1,0,0,0,0,0,0
GENE-3982,NO,1,0,1,0,1,0,3
GENE-3983,NO,1,200,205,241,193,212,249
GENE-3984,NO,1,0,0,0,0,0,0
GENE-3985,NO,1,0,0,0,0,0,0
GENE-3986,NO,1,0,0,0,0,0,0
GENE-3987,NO,1,0,0,0,0,0,0
GENE-3988,NO,1,1255,1033,1133,1145,1044,1144
GENE-3989,NO,1,0,0,0,0,0,0
GENE-3990,NO,1,0,0,0,0,0,0
GENE-3991,NO,1,175,55,104,221,62,109
GENE-3992,NO,1,413,366,180,249,291,320
GENE-3993,NO,1,0,0,0,0,0,0
GENE-3994,NO,1,0,0,0,0,0,0
GENE-3995,NO,1,0,0,0,0,0,0
GENE-3996,NO,1,0,0,0,0,0,0
GENE-3997,NO,1,0,0,0,0,0,0
GENE-3998,NO,1,0,0,0,0,0,0
GENE-3999,NO,1,0,0,0,0,0,0
GENE-4000,NO,1,0,0,0,0,0,0
GENE-4001,NO,1,0,0,0,0,0,0
GENE-4002,YES,1,0,0,1,0,0,0
GENE-4003,NO,1,0,0,0,0,0,0
GENE-4004,NO,1,185,151,175,190,189,188
GENE-4005,NO,1,34,40,61,15,27,10
GENE-4006,NO,1,0,0,0,0,0,0
GENE-4007,NO,1,754,656,826,560,816,593
GENE-4008,NO,1,176,139,154,246,149,182
GENE-4009,NO,1,0,0,0,0,0,0
GENE-4010,NO,1,77,80,121,74,107,118
GENE-4011,NO,1,0,0,0,0,0,0
GENE-4012,NO,1,16,35,27,31,26,24
GENE-4013,NO,1,0,0,0,0,0,0
GENE-4014,NO,1,25,23,19,16,19,16
GENE-4015,YES,1,0,0,0,0,0,0
GENE-4016,NO,1,0,0,0,0,0,0
GENE-4017,NO,1,0,0,0,0,0,0
GENE-4018,NO,1,0,0,0,0,0,0
GENE-4019,NO,1,0,0,0,0,0,0
GENE-4020,NO,1,0,0,0,0,0,0
GENE-4021,NO,1,1285,1236,1434,1369,1268,1644
GENE-4022,NO,1,152,124,129,108,119,137
GENE-4023,NO,1,43,37,42,57,44,54
GENE-4024,NO,1,0,0,0,0,0,0
GENE-4025,NO,1,1,2,2,1,0,0
GENE-4026,NO,1,3,7,12,5,8,5
GENE-4027,NO,1,0,0,0,0,0,0
GENE-4028,NO,1,461,516,566,557,617,570
GENE-4029,NO,1,254,277,326,308,339,224
GENE-4030,NO,1,0,0,0,0,0,0
GENE-4031,NO,1,0,0,0,0,0,0
GENE-4032,NO,1,0,0,0,0,0,0
GENE-4033,NO,1,0,0,0,0,0,0
GENE-4034,NO,1,0,2,1,1,0,0
GENE-4035,NO,1,0,0,0,0,0,0
GENE-4036,NO,1,0,0,0,0,0,0
GENE-4037,NO,1,9,0,64,12,3,49
GENE-4038,NO,1,0,0,0,0,0,0
GENE-4039,NO,1,0,0,2,1,1,1
GENE-4040,NO,1,220,239,227,136,294,198
GENE-4041,NO,1,25,31,17,24,20,17
GENE-4042,NO,1,0,0,0,0,0,0
GENE-4043,NO,1,0,0,0,0,0,0
GENE-4044,NO,1,0,0,0,0,0,0
GENE-4045,NO,1,0,0,0,0,0,0
GENE-4046,NO,1,234,178,282,216,267,166
GENE-4047,NO,1,0,0,0,0,0,0
GENE-4048,NO,1,0,0,0,0,0,0
GENE-4049,NO,1,12,14,7,8,16,15
GENE-4050,NO,1,0,0,0,0,0,0
GENE-4051,NO,1,0,0,0,0,0,0
GENE-4052,NO,1,0,0,0,0,0,0
GENE-4053,NO,1,0,0,0,0,0,0
GENE-4054,NO,1,0,0,0,0,0,0
GENE-4055,NO,1,6,5,4,7,9,7
GENE-4056,NO,1,0,0,0,0,0,0
GENE-4057,NO,1,0,0,0,0,0,0
GENE-4058,NO,1,43,6,29,39,37,26
GENE-4059,NO,1,0,0,1,1,3,2
GENE-4060,NO,1,0,0,0,0,0,0
GENE-4061,NO,1,0,0,0,0,0,0
GENE-4062,NO,1,0,0,0,0,0,0
GENE-4063,NO,1,0,0,0,0,0,0
GENE-4064,NO,1,61,56,73,123,70,71
GENE-4065,NO,1,103,111,76,103,88,99
GENE-4066,NO,1,616,729,751,696,641,544
GENE-4067,NO,1,0,0,0,0,0,0
GENE-4068,NO,1,4229,3159,3353,3970,4287,4241
GENE-4069,NO,1,0,0,0,0,0,0
GENE-4070,NO,1,50,0,8,19,1,14
GENE-4071,NO,1,0,0,0,0,0,0
GENE-4072,NO,1,52,44,33,48,54,26
GENE-4073,NO,1,0,0,0,0,0,0
GENE-4074,NO,1,0,32,8,0,19,1
GENE-4075,NO,1,0,0,0,0,0,0
GENE-4076,NO,1,0,0,0,0,0,0
GENE-4077,NO,1,0,0,0,0,0,0
GENE-4078,NO,1,0,0,0,1,1,0
GENE-4079,NO,1,5,5,2,3,3,6
GENE-4080,NO,1,6,8,7,4,6,11
GENE-4081,NO,1,99,93,82,75,75,90
GENE-4082,NO,1,44,34,48,33,48,37
GENE-4083,NO,1,0,0,0,0,0,0
GENE-4084,NO,1,0,0,0,1,0,0
GENE-4085,NO,1,20,19,18,18,21,17
GENE-4086,NO,1,0,0,0,0,0,0
GENE-4087,NO,1,0,0,0,0,0,0
GENE-4088,YES,1,0,0,0,0,0,0
GENE-4089,NO,1,0,0,0,0,0,0
GENE-4090,NO,1,17,33,14,29,19,27
GENE-4091,NO,1,0,0,0,0,0,0
GENE-4092,NO,1,74,110,143,121,98,136
GENE-4093,NO,1,150,141,235,61,83,166
GENE-4094,NO,1,0,0,0,0,0,0
GENE-4095,NO,1,9,5,4,6,4,5
GENE-4096,NO,1,7,9,12,12,8,19
GENE-4097,YES,1,0,0,0,0,0,0
GENE-4098,NO,1,0,0,0,0,0,0
GENE-4099,NO,1,0,6,3,8,3,10
GENE-4100,NO,1,26,23,19,11,14,19
GENE-4101,NO,1,0,0,0,0,0,0
GENE-4102,NO,1,0,0,0,0,0,0
GENE-4103,NO,1,143,149,189,109,142,175
GENE-4104,NO,1,762,839,620,754,876,1022
GENE-4105,NO,1,0,0,0,0,0,0
GENE-4106,NO,1,0,0,0,0,0,0
GENE-4107,NO,1,0,0,0,0,0,0
GENE-4108,NO,1,0,0,0,0,0,0
GENE-4109,NO,1,0,0,0,0,0,0
GENE-4110,NO,1,0,0,0,0,0,0
GENE-4111,NO,1,53,52,67,79,65,67
GENE-4112,NO,1,0,0,0,0,0,0
GENE-4113,NO,1,0,0,0,0,0,0
GENE-4114,NO,1,423,369,407,319,481,326
GENE-4115,NO,1,7,8,3,4,4,11
GENE-4116,YES,1,0,0,0,0,0,0
GENE-4117,NO,1,0,0,0,0,0,0
GENE-4118,NO,1,8,7,5,2,14,10
GENE-4119,NO,1,0,0,0,0,0,0
GENE-4120,YES,1,0,0,0,0,0,0
GENE-4121,NO,1,0,0,0,0,0,0
GENE-4122,NO,1,0,0,0,0,0,0
GENE-4123,NO,1,0,0,0,0,0,0
GENE-4124,NO,1,0,0,0,0,0,0
GENE-4125,NO,1,0,0,0,0,0,0
GENE-4126,NO,1,0,0,0,0,0,0
GENE-4127,NO,1,0,0,0,0,0,0
GENE-4128,NO,1,63,45,47,32,45,60
GENE-4129,NO,1,0,0,0,0,0,0
GENE-4130,NO,1,13,8,10,8,13,8
GENE-4131,NO,1,0,0,0,0,0,0
GENE-4132,NO,1,201,157,207,231,209,210
GENE-4133,NO,1,0,0,0,0,0,0
GENE-4134,YES,1,0,0,0,0,0,0
GENE-4135,NO,1,0,0,0,0,0,0
GENE-4136,NO,1,0,0,0,0,0,0
GENE-4137,NO,1,0,0,0,0,0,0
GENE-4138,NO,1,80,49,62,72,54,69
GENE-4140,NO,1,448,608,687,508,530,505
GENE-4141,NO,1,0,0,0,0,0,0
GENE-4142,NO,1,0,0,0,0,0,0
GENE-4143,NO,1,0,0,0,0,0,0
GENE-4144,NO,1,0,0,0,0,0,0
GENE-4145,NO,1,577,585,503,538,652,552
GENE-4146,NO,1,0,0,0,0,0,0
GENE-4147,NO,1,44,49,51,45,54,64
GENE-4148,NO,1,0,0,0,0,0,0
GENE-4149,NO,1,0,0,0,0,0,0
GENE-4150,NO,1,59,57,60,63,75,57
GENE-4151,NO,1,302,285,459,271,255,324
GENE-4152,NO,1,80,101,138,73,72,94
GENE-4153,NO,1,0,0,0,0,0,0
GENE-4154,NO,1,0,0,0,0,0,0
GENE-4155,NO,1,2,1,2,2,0,1
GENE-4156,NO,1,0,0,0,0,0,0
GENE-4157,NO,1,4,0,2,4,2,2
GENE-4158,NO,1,3,423,181,0,209,194
GENE-4159,NO,1,0,0,0,0,0,0
GENE-4160,NO,1,0,0,0,0,0,0
GENE-4161,NO,1,1,2,2,1,0,0
GENE-4162,NO,1,15,10,16,13,7,15
GENE-4163,NO,1,0,0,0,0,0,0
GENE-4164,NO,1,0,0,0,0,0,0
GENE-4166,NO,1,0,0,0,0,0,0
GENE-4167,NO,1,84,325,338,69,134,219
GENE-4168,NO,1,0,0,0,0,0,0
GENE-4169,NO,1,45,24,47,27,23,44
GENE-4170,NO,1,0,0,0,0,0,0
GENE-4171,NO,1,0,0,0,0,0,0
GENE-4172,NO,1,0,0,0,0,0,0
GENE-4173,NO,1,0,0,0,0,0,0
GENE-4174,NO,1,0,0,0,1,0,0
GENE-4175,NO,1,0,0,0,0,0,0
GENE-4177,NO,1,0,0,0,0,0,0
GENE-4178,NO,1,0,0,0,0,0,0
GENE-4179,NO,1,24,34,45,48,45,63
GENE-4180,NO,1,0,0,0,0,0,0
GENE-4181,NO,1,0,0,0,0,0,0
GENE-4182,NO,1,106,120,117,100,130,141
GENE-4183,NO,1,0,0,0,0,0,0
GENE-4184,YES,1,0,0,0,0,0,0
GENE-4185,NO,1,0,0,0,0,0,0
GENE-4186,NO,1,0,0,0,0,0,0
GENE-4187,NO,1,0,0,0,1,0,0
GENE-4188,NO,1,0,0,0,0,0,0
GENE-4189,NO,1,138,140,174,142,150,129
GENE-4190,NO,1,0,0,0,0,0,0
GENE-4191,NO,1,14,10,15,20,13,14
GENE-4192,NO,1,11,19,16,22,20,20
GENE-4193,NO,1,0,0,0,0,0,0
GENE-4194,NO,1,0,0,0,0,0,0
GENE-4195,NO,1,14,8,9,7,5,9
GENE-4196,NO,1,0,0,0,0,0,0
GENE-4197,NO,1,0,0,0,0,0,0
GENE-4198,NO,1,0,0,0,0,0,0
GENE-4199,NO,1,0,0,0,0,0,0
GENE-4200,NO,1,0,0,0,0,0,0
GENE-4201,NO,1,0,0,0,0,0,0
GENE-4202,YES,1,0,0,0,0,0,0
GENE-4203,NO,1,0,0,0,0,0,0
GENE-4204,NO,1,2,2,1,3,3,1
GENE-4205,NO,1,0,0,0,0,0,0
GENE-4206,NO,1,0,0,0,0,0,0
GENE-4207,NO,1,0,0,0,0,0,0
GENE-4208,NO,1,0,0,0,0,0,0
GENE-4209,NO,1,0,0,0,0,0,0
GENE-4210,NO,1,11,7,5,7,13,12
GENE-4211,NO,1,0,0,0,0,0,0
GENE-4212,NO,1,0,0,0,0,0,0
GENE-4213,NO,1,0,0,0,0,0,0
GENE-4214,NO,1,0,0,0,0,0,0
GENE-4216,NO,1,0,0,0,0,0,0
GENE-4217,NO,1,252,236,259,169,166,224
GENE-4218,NO,1,0,0,0,0,0,0
GENE-4219,NO,1,0,0,0,0,0,0
GENE-4220,NO,1,0,0,0,0,0,0
GENE-4221,NO,1,0,0,0,0,0,0
GENE-4222,NO,1,0,0,0,0,0,1
GENE-4223,NO,1,0,0,0,0,0,0
GENE-4224,NO,1,1,4,1,1,1,2
GENE-4225,NO,1,0,0,0,0,0,0
GENE-4226,NO,1,1,1,0,0,1,2
GENE-4227,NO,1,346,250,320,354,496,409
GENE-4228,NO,1,27,18,15,22,26,22
GENE-4229,NO,1,0,0,0,0,0,0
GENE-4230,NO,1,41,68,54,43,63,74
GENE-4231,NO,1,0,0,0,0,0,0
GENE-4232,NO,1,195,158,188,191,175,192
GENE-4233,NO,1,37,41,33,23,33,43
GENE-4234,NO,1,1,1,4,2,3,2
GENE-4235,YES,1,0,0,0,0,0,0
GENE-4236,NO,1,0,0,0,0,0,0
